country,market_maturity_20,payment_feasibility_20,fulfillment_customs_15,local_resources_15,category_fit_10,digital_reach_10,compliance_risk_10,total_score,decision,notes,last_checked
Kazakhstan,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,
Tajikistan,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,
