country,contact_name,resource_type,can_collect_payment,can_ship_locally,can_receive_inventory,can_handle_returns,can_handle_customer_service,languages,proof_available,trust_level_1_5,risks,next_action,owner,last_checked
Kazakhstan,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,
